participant,difficulty,left_pupil_position,right_pupil_position,left_eye_position,right_eye_position,left_eye_size_x,right_eye_size_x,left_eye_size_y,right_eye_size_y,time_stamp
participant_15,medium,"(107.7549995054934, 74.95749938442668)","(44.131853801258785, 71.31047728452972)","(93.94350639590039, 78.92767556273293)","(31.27611409330939, 75.20672227586829)",27.2075515568622,25.86599574245338,8.771577414046988,8.902510406340298,1630364391307
participant_15,medium,"(106.6130947470755, 75.64961280227396)","(42.780946392104966, 72.21711523687316)","(92.73459368440355, 79.56634293931259)","(29.765254631739026, 76.10313058363047)",27.406086522610167,26.25779264951052,8.651196293421918,8.817761818351784,1630364391445
participant_15,medium,"(107.46525799071242, 73.85971543959022)","(43.63650270417929, 71.06052404461298)","(93.66640632644703, 77.67946109909099)","(30.62807324041205, 74.87203673244221)",27.36316944877035,26.161707271181513,8.36382352549117,8.570253504789434,1630364391506
participant_15,medium,"(107.10233560248344, 75.95105874641558)","(43.99989086359892, 72.74571122265297)","(93.28078757754702, 79.9246655779425)","(31.17194905881479, 76.71940000542963)",27.238663705575163,25.885976377365296,8.77304518717574,9.05318968075153,1630364391589
participant_15,medium,"(108.21713598755832, 75.09527967335089)","(44.87117698855445, 72.06968673878873)","(94.21931302914527, 79.23875012538338)","(31.999288319082552, 76.10577460973582)",27.49058057377988,26.272586345781747,9.322903985899757,9.565212680463446,1630364391657
participant_15,medium,"(106.09412646209285, 73.53068638830109)","(44.00023155544295, 70.42354995073549)","(92.0260926662022, 77.65422691211916)","(31.06957538365532, 74.4869456315455)",27.652582861433984,26.37295812213233,9.451728331147933,9.49465227188739,1630364391705
participant_15,medium,"(109.11307272796954, 65.34907674422357)","(46.763116553737405, 62.50197151391603)","(95.46302124554857, 68.70256223649949)","(33.91268537739052, 65.91075937150208)",27.02424991074531,25.99124867507726,7.970214631266579,8.200652660334534,1630364391803
participant_15,medium,"(109.16732118300068, 67.8489674180098)","(46.6247745218667, 64.59576874511254)","(95.56241900214262, 71.05190242848676)","(33.89379215617828, 67.77191860860512)",26.88010313605264,25.683451787431295,7.664640236534076,7.70841946565816,1630364391856
participant_15,medium,"(111.74589472939374, 67.93342091581962)","(49.05817249389429, 64.49890955721912)","(98.26626683258382, 71.08595151506506)","(36.29557846288208, 67.61856084036026)",26.503955631978897,25.714494786871,7.551294456425239,7.5258368997219804,1630364391968
participant_15,medium,"(111.74589472939374, 67.93342091581962)","(49.05817249389429, 64.49890955721912)","(98.26626683258382, 71.08595151506506)","(36.29557846288208, 67.61856084036026)",26.503955631978897,25.714494786871,7.551294456425239,7.5258368997219804,1630364391993
