participant,difficulty,left_pupil_position,right_pupil_position,left_eye_position,right_eye_position,left_eye_size_x,right_eye_size_x,left_eye_size_y,right_eye_size_y,time_stamp
participant_2,hard,"(145.5512669097111, 102.09617269890147)","(68.71168397247835, 94.4306811093336)","(128.90039011044882, 107.76512030678215)","(51.819246687405226, 100.1805451630221)",32.65785069501999,34.007014661746325,12.312149795265213,12.687871626536435,1626357860381
participant_2,hard,"(146.48642852675778, 101.871678230778)","(68.37074354688389, 94.38853990101705)","(128.90039011044882, 107.82023368819864)","(50.89858044508219, 100.1805451630221)",34.209020537818105,34.92768090406936,13.220000908986549,12.687871626536435,1626357860476
participant_2,hard,"(146.48642852675778, 101.871678230778)","(68.35204904472437, 94.27612160250726)","(128.90039011044882, 107.82023368819864)","(50.89858044508219, 100.1805451630221)",34.209020537818105,34.92768090406936,13.220000908986549,13.587218014614805,1626357860542
participant_2,hard,"(144.50643303931167, 100.95019894114876)","(67.42547101863255, 93.44214313440165)","(127.43378830293523, 107.09017050914463)","(50.03315389327645, 99.59249767955134)",33.408456627360465,35.7931074558751,13.586774178684209,13.846828080897467,1626357860604
participant_2,hard,"(146.16050708567218, 101.73536030199217)","(68.9793660548021, 93.98302834597486)","(128.87607624367138, 108.04367737551549)","(51.717824855933046, 100.27321192297678)",33.70644799099864,34.96189467837212,13.897071689585573,14.044383888222,1626357860668
participant_2,hard,"(145.19329518537597, 101.17870914416382)","(67.28085074176671, 93.6997355744352)","(127.87917482583727, 107.4750141078912)","(49.91718057445543, 100.04997722818372)",33.74637393146985,35.150553773361025,13.883180953678675,14.154895401399699,1626357860728
participant_2,hard,"(145.19329518537597, 101.17870914416382)","(67.28085074176671, 93.6997355744352)","(127.87917482583727, 107.4750141078912)","(49.91718057445543, 100.04997722818372)",33.74637393146985,35.150553773361025,13.883180953678675,14.154895401399699,1626357860812
participant_2,hard,"(147.13020175777163, 102.63240940325319)","(68.9885329890126, 94.70642630058934)","(129.72912907950564, 108.97069412320435)","(51.652744163438925, 101.03620921034691)",33.933974096016755,35.153980191062146,14.033928550452401,14.149036751969106,1626357860876
participant_2,hard,"(145.22573689098522, 100.17703502098334)","(66.66574733119182, 92.27523313274355)","(128.16213263045938, 106.33576532609368)","(49.358275644275636, 98.44726767677275)",33.37239652453172,34.98744388837076,13.563082701632084,13.774729151580686,1626357860939
participant_2,hard,"(144.31856791023415, 102.00649015962222)","(67.42496469835953, 93.56337510731964)","(127.42079154270095, 107.9731408378425)","(50.34079627956953, 99.50680377579965)",33.10436776138886,34.49749596974834,13.108016148989009,13.266400836100729,1626357861032
participant_2,hard,"(142.73067817687865, 100.57957179852552)","(64.84271949650609, 92.40094937669083)","(125.66925947219941, 106.62052716121524)","(47.706093347974715, 98.40556136300346)",33.43472969618871,34.63915090205501,13.272373185416654,13.374124213962205,1626357861100
participant_2,hard,"(144.4096004405951, 101.47903704720386)","(66.28293795297611, 94.0547378077697)","(127.34789761749653, 107.57316510591136)","(48.94338901674655, 100.19216346295343)",33.424368508283806,35.06510880382484,13.456053569475444,13.700117401375792,1626357861165
participant_2,hard,"(146.16533313358673, 102.75552572661012)","(68.51101755719922, 95.03152669226436)","(128.8584930871366, 109.09409168036744)","(51.31030125166943, 101.36161418170103)",33.7915696823984,34.85336777316661,13.978130770874486,14.093808230563809,1626357861229
participant_2,hard,"(144.1813024170924, 101.02053870339934)","(66.51257519236516, 93.32760399832024)","(127.05779235197771, 107.18142395728138)","(49.40183618977245, 99.48682425173685)",33.462757651170236,34.58757089136634,13.58637471498514,13.738173316371103,1626357861309
participant_2,hard,"(141.45330549104983, 101.14373893554148)","(64.1308422141883, 93.64725565371191)","(124.57864441498532, 107.15288152956055)","(47.066232034092536, 99.64089337331825)",33.09382382640615,34.48223156720633,13.161994848574977,13.27224678103812,1626357861373
participant_2,hard,"(142.92448549609333, 101.73846841595662)","(66.09891449075747, 94.58620179010097)","(126.04424858263883, 107.83001677686798)","(48.991165370152885, 100.6639143960615)",33.047850578568614,34.61682072444546,13.391016181149098,13.573299833788042,1626357861435
participant_2,hard,"(142.92448549609333, 101.73846841595662)","(66.09891449075747, 94.58620179010097)","(126.04424858263883, 107.83001677686798)","(48.991165370152885, 100.6639143960615)",33.047850578568614,34.61682072444546,13.391016181149098,13.573299833788042,1626357861500
participant_2,hard,"(141.06659875998957, 100.81996656438878)","(63.90914522607636, 93.91387437446656)","(124.1767802961549, 106.80045781089939)","(46.89764212781665, 99.95957397173333)",33.25033368527511,34.34127410207293,12.940872122933797,13.233914871194429,1626357861596
participant_2,hard,"(143.09798395873077, 101.30133274283253)","(65.62321966663694, 94.45553646146755)","(126.09315331186008, 107.32248219542817)","(48.59993493638467, 100.50500589163858)",33.37812486253824,34.35689904838364,13.061542441431811,13.366463202288287,1626357861661
participant_2,hard,"(143.09798395873077, 101.30133274283253)","(65.62321966663694, 94.45553646146755)","(126.09315331186008, 107.32248219542817)","(48.59993493638467, 100.50500589163858)",33.37812486253824,34.35689904838364,13.061542441431811,13.366463202288287,1626357861739
participant_2,hard,"(144.2449027151497, 100.11783560579283)","(66.17327815150225, 92.84334101023683)","(127.08048662881265, 106.15588910600127)","(49.08660414908809, 98.88695530207588)",33.64430426526269,34.44632929815816,13.10883653073688,13.333647697496417,1626357861800
participant_2,hard,"(143.60951361888328, 101.1985952009063)","(65.92018429406743, 94.10913751330735)","(126.52581022876619, 107.27318680676034)","(48.81776130726574, 100.19006333878859)",33.49254901087262,34.56322146086313,13.293485575435625,13.508972765310318,1626357861869
participant_2,hard,"(143.47877811358796, 102.28764328150008)","(65.84147239021637, 95.33811373814886)","(126.49821973182178, 108.29353346407332)","(48.88510922719114, 101.3464466894893)",33.33626610683952,34.2676916237815,13.103188786424653,13.272160489426824,1626357861932
participant_2,hard,"(143.47877811358796, 102.28764328150008)","(65.84147239021637, 95.33811373814886)","(126.49821973182178, 108.29353346407332)","(48.88510922719114, 101.3464466894893)",33.33626610683952,34.2676916237815,13.103188786424653,13.272160489426824,1626357861996
participant_2,hard,"(143.70558940516287, 100.64145467918935)","(65.16565327977925, 93.8153305774065)","(126.35231300725947, 106.689850967829)","(48.05223038521355, 99.8790169393401)",34.01313403808034,34.482574587280396,13.074376325358571,13.299235152930123,1626357862060
participant_2,hard,"(143.85407099544273, 100.87172795104527)","(65.65465724772014, 94.38806674716665)","(126.9894036661558, 106.689850967829)","(48.05223038521355, 100.7733036796908)",33.37604337918401,35.309440688440176,13.074376325358571,13.449020235886564,1626357862123
