participant,difficulty,left_pupil_position,right_pupil_position,left_eye_position,right_eye_position,left_eye_size_x,right_eye_size_x,left_eye_size_y,right_eye_size_y,time_stamp
participant_1,easy,"(96.95820703663287, 68.31723698051917)","(37.217890275691445, 71.76940135687175)","(83.67184119050535, 72.71768297989638)","(25.70592854769984, 76.08917390150509)",26.474092264061255,23.808814557617097,9.698241516639428,9.592517410942492,1632163769974
participant_1,easy,"(96.00333564750918, 69.52951829814697)","(37.217890275691445, 71.76940135687175)","(82.78198666459411, 73.84754991874979)","(25.70592854769984, 76.08917390150509)",26.339444288601953,23.808814557617097,9.477002998390162,9.592517410942492,1632163770047
participant_1,easy,"(95.10363473851976, 69.04652143434532)","(36.62869205633751, 72.09866621895253)","(81.92603676851104, 73.37259922815429)","(25.70592854769984, 76.53614489701067)",26.34489210629181,22.719370380745204,9.579628030940512,9.452785243287508,1632163770097
participant_1,easy,"(95.10363473851976, 69.04652143434532)","(36.57787213869187, 71.6705670598999)","(81.92603676851104, 73.37259922815429)","(25.70592854769984, 75.63870419806335)",26.34489210629181,22.719370380745204,9.579628030940512,9.450713993282989,1632163770188
participant_1,easy,"(94.09782293281707, 68.93515756083298)","(35.035799259693256, 71.78382907238915)","(81.02471110577883, 73.29060128128731)","(23.89936520831271, 76.03517542901682)",26.189583738479996,23.01314333560913,9.607980640796079,9.53962670733381,1632163770232
participant_1,easy,"(93.2138288487688, 67.1566731447906)","(33.84709778123465, 70.98872477699183)","(79.9756549209701, 71.34136873037278)","(22.811498741039486, 75.00808989453799)",26.469840900561394,22.78527648096042,9.120173500870806,8.91318088535445,1632163770325
participant_1,easy,"(92.96973214235186, 69.32146315569116)","(33.93507199043239, 72.01153270621182)","(79.81057892128592, 73.74286432180088)","(22.992052066256292, 76.47647185932146)",26.365072054497432,22.749679594882764,9.807886542810593,10.381562850137925,1632163770369
participant_1,easy,"(92.46355109752223, 70.3536800437987)","(34.04503725198948, 74.05152633188028)","(79.81057892128592, 73.88435755966931)","(23.21650570929706, 77.45966834441789)",25.46577113425522,22.525225951841996,6.895959989386029,6.809486008001841,1632163770463
participant_1,easy,"(93.11148181043848, 70.80782335761876)","(34.06182072548541, 74.1535403778279)","(79.81057892128592, 74.49562428271656)","(23.21650570929706, 77.45966834441789)",26.336911214119027,22.65949373980947,6.867341502843374,6.809486008001841,1632163770511
participant_1,easy,"(93.05678499357566, 70.70478101660751)","(34.06182072548541, 74.1535403778279)","(79.81057892128592, 74.49562428271656)","(23.21650570929706, 77.45966834441789)",26.336911214119027,22.65949373980947,7.691680230933343,6.809486008001841,1632163770600
participant_1,easy,"(92.95200588598072, 70.47208192225287)","(34.8413503314772, 73.96861650450876)","(79.81057892128592, 74.49562428271656)","(24.160290440495373, 77.37962478636928)",26.336911214119027,21.715709008611157,7.691680230933343,7.221511162229945,1632163770668
participant_1,easy,"(92.95200588598072, 70.47208192225287)","(34.836752065234634, 73.86660317176097)","(79.81057892128592, 74.49562428271656)","(24.160290440495373, 77.37962478636928)",26.336911214119027,21.715709008611157,7.691680230933343,8.037617824212248,1632163770734
