participant,difficulty,left_pupil_position,right_pupil_position,left_eye_position,right_eye_position,left_eye_size_x,right_eye_size_x,left_eye_size_y,right_eye_size_y,time_stamp
participant_2,hard,"(135.14909546386468, 76.435645302147)","(58.0963036412777, 82.36112230476088)","(120.28274950034891, 80.2255957119132)","(42.4295499631221, 85.98924745531346)",29.661888335317613,31.547760244309742,8.559017677162018,8.253388248784177,1632152455625
participant_2,hard,"(135.63857486926668, 78.88880332427811)","(57.39541328262544, 84.45849335640833)","(120.49147620965687, 82.33957295829532)","(41.49871846526821, 87.68958244383066)",30.149269675446703,31.870380271504473,7.494166089967621,7.0638983790759085,1632152455685
participant_2,hard,"(135.64558579241077, 78.78068622570049)","(59.609492954684356, 83.9416017950739)","(120.49147620965687, 82.33957295829532)","(43.91907030781476, 87.4212299096107)",30.149269675446703,31.585477355702096,8.359102878588601,8.05185094393164,1632152455735
participant_2,hard,"(134.14978896978846, 78.98273199921505)","(56.76213050869501, 84.879823533013)","(119.18931928112215, 82.81427446703856)","(40.90536981094556, 88.53829087357553)",29.845777807480772,31.888149675773093,8.582259390379477,8.22360276478139,1632152455826
participant_2,hard,"(135.00436436137682, 79.10117092759651)","(58.1917340219386, 84.5926937732612)","(120.08895170572077, 82.88239237633206)","(42.468864076683985, 88.2617360839904)",29.751191862203086,31.629798548946383,8.598721565246706,8.418610597904262,1632152455896
participant_2,hard,"(133.70207717519304, 78.61474264789376)","(56.9020827254501, 84.30653245702365)","(118.71377790856604, 82.22349104914792)","(41.22188342940626, 87.80727998705697)",29.941256804822842,31.614425703011875,8.072758069236443,7.93417028704971,1632152455998
participant_2,hard,"(134.76229320705488, 79.0603593739263)","(56.9020827254501, 84.30653245702365)","(119.81706304781983, 82.78612628247083)","(41.22188342940626, 87.80727998705697)",29.775562521117536,31.614425703011875,8.357266453747798,7.93417028704971,1632152456038
participant_2,hard,"(132.609100630306, 76.03670446124352)","(56.73864906331778, 81.07112652191995)","(117.62669430805681, 80.1098682667639)","(41.15343832376175, 85.03021505692004)",29.852587866171234,31.63426282297678,9.386776406323406,9.267712709339321,1632152456091
participant_2,hard,"(131.6699149012495, 73.657089265089)","(57.14062468148461, 78.27440188484492)","(116.48528465982874, 78.18323181235522)","(41.65875841971865, 82.7111419884732)",30.040564659818287,31.495640812651814,10.511761196511571,10.506453321351728,1632152456188
participant_2,hard,"(130.02074215771972, 76.187479241049)","(55.29945816256986, 80.78027048220976)","(114.83042813817157, 80.8018207826972)","(39.7279986472131, 85.30672658910046)",29.956861275626565,31.605373902188163,10.644916039003903,10.707360693981173,1632152456239
participant_2,hard,"(129.06729068862023, 75.77033090399391)","(54.0604469308912, 80.15724814181225)","(113.76229884451821, 80.46573563658418)","(38.369553664577325, 84.76393120436475)",30.217707700852785,31.901209946552612,10.796684695942503,10.788521653112156,1632152456300
participant_2,hard,"(129.02337951161542, 75.87119123477441)","(54.0604469308912, 80.15724814181225)","(113.76229884451821, 80.46573563658418)","(38.369553664577325, 84.76393120436475)",30.217707700852785,31.901209946552612,10.796684695942503,10.788521653112156,1632152456393
participant_2,hard,"(129.02337951161542, 75.87119123477441)","(54.016906518614746, 80.26079122173496)","(113.76229884451821, 80.46573563658418)","(38.02123036636567, 84.76393120436475)",30.217707700852785,32.249533244764265,10.796684695942503,10.788521653112156,1632152456444
participant_2,hard,"(129.1100221867556, 76.93360355472737)","(54.274724967624024, 81.6930475870529)","(113.95375706151937, 81.52009384843043)","(38.613492418518945, 86.16048758476612)",30.094974627574615,31.922713948159085,10.463435528741712,10.546596890919346,1632152456501
