participant,difficulty,left_pupil_position,right_pupil_position,left_eye_position,right_eye_position,left_eye_size_x,right_eye_size_x,left_eye_size_y,right_eye_size_y,time_stamp
participant_2,medium,"(125.18592260542414, 75.06446983290243)","(52.7615552339596, 82.71891071200594)","(110.58319524618037, 79.1058590581797)","(37.36148383669661, 86.78544623359448)",29.17798056096035,31.560098239518993,9.44431861062003,9.647761303715015,1632153979079
participant_2,medium,"(126.13439070972711, 76.562322486496)","(53.300826046443724, 84.38634387589697)","(111.4364682184278, 80.60833705767256)","(38.07348624279258, 88.43400677145839)",29.332601550358973,31.154035899724477,9.483577228138529,9.654271826218974,1632153979180
participant_2,medium,"(123.635776367169, 74.72308300347676)","(51.78843698033768, 83.47808756692213)","(109.2301074026641, 78.7061661863909)","(36.6025740024138, 87.49055467375004)",28.84535740450336,31.199335276642174,9.546124878763322,9.707571437969818,1632153979239
participant_2,medium,"(124.68692400302461, 75.16236851296424)","(52.33701118057576, 83.42502945468334)","(110.2275753240092, 79.26726760803376)","(36.6025740024138, 87.49055467375004)",28.86788991294452,32.08983778766242,9.690587608502028,9.808299275388919,1632153979300
participant_2,medium,"(124.7287572714506, 76.56781536533208)","(52.84636096377562, 84.29497733266885)","(110.06220302780639, 80.61386494796898)","(37.62304090388716, 88.3136635971623)",29.19757208041665,31.284196731337943,9.609761191059079,9.70824891436314,1632153979380
participant_2,medium,"(124.66198280743652, 74.9153553604988)","(52.84636096377562, 84.29497733266885)","(110.21124857937686, 78.92225538448568)","(37.62304090388716, 88.3136635971623)",28.911432838071036,31.284196731337943,9.41480572495496,9.70824891436314,1632153979441
participant_2,medium,"(126.15568522314629, 75.73968215160357)","(54.47376281922561, 83.49564930964334)","(111.47026125161028, 79.8628512685973)","(39.33879514031469, 87.5936593374463)",29.22488719039029,31.071701395499986,9.770763286560395,9.787157844875765,1632153979519
participant_2,medium,"(125.2101294945906, 75.79703160680532)","(53.264882068669294, 84.86107907608027)","(111.47026125161028, 79.73769082730041)","(38.16472470462986, 88.76193611396184)",28.02952342106755,31.066987093679018,9.269504500529365,9.317910753056822,1632153979580
participant_2,medium,"(121.14349337618364, 73.95269465512479)","(49.74729745215518, 82.67136239773902)","(106.8500951823803, 77.80405791538897)","(34.79910611673449, 86.50693350080064)",28.64092678963152,30.701061939064857,9.215587142238292,9.206087108244901,1632153979655
participant_2,medium,"(121.18330698896955, 74.30102782043804)","(49.76328536720996, 83.02061731738644)","(106.8500951823803, 78.82703245239827)","(34.79910611673449, 87.5247529863318)",28.64092678963152,30.701061939064857,10.238561679247596,10.223906593776064,1632153979723
participant_2,medium,"(120.3706187084237, 74.59739719546445)","(49.76328536720996, 83.02061731738644)","(105.91387879371268, 78.59852791908907)","(34.79910611673449, 87.5247529863318)",29.57714317829914,30.701061939064857,9.24188698029866,10.223906593776064,1632153979794
participant_2,medium,"(120.38423603887031, 74.70841472024466)","(49.750803969603794, 83.24365346432302)","(105.91387879371268, 78.59852791908907)","(34.79910611673449, 87.5247529863318)",29.686081821871994,30.682237439005334,9.24188698029866,10.223906593776064,1632153979865
participant_2,medium,"(122.13547476620533, 73.60604160469619)","(49.877939271944335, 81.60555754170854)","(107.71805265765032, 77.66727275596165)","(34.93875034064513, 85.72942048257934)",28.83633876129899,30.560747867730228,9.497754599007749,9.791744174763153,1632153979933
participant_2,medium,"(121.54067503522981, 75.94203835557836)","(49.10465423538427, 84.22346400600021)","(106.96225697575984, 79.80507857851083)","(34.01496728697339, 88.1807646951302)",29.234463761035826,30.939552096301682,9.107009139534057,9.418254786523903,1632153980062
