participant,difficulty,left_pupil_position,right_pupil_position,left_eye_position,right_eye_position,left_eye_size_x,right_eye_size_x,left_eye_size_y,right_eye_size_y,time_stamp
participant_11,medium,"(119.78521256723934, 64.92342571308563)","(57.56870408435384, 72.55183747698675)","(106.70560250669223, 68.87967116915752)","(44.897327529377435, 76.70605454612814)",25.96317196275777,26.457534498489622,9.228899448484299,9.57283035074579,1627926518607
participant_11,medium,"(122.19204172360219, 63.05120893041135)","(61.062665437408214, 69.34374336794576)","(109.39173711022067, 66.99080971633293)","(48.61290962548446, 73.50726852611251)",25.17044835562774,25.96309138021934,9.13484090509337,9.55440236387949,1627926518681
participant_11,medium,"(123.34588878791236, 58.71106341471545)","(61.160594565513975, 64.62939575246514)","(110.59857608744093, 62.760808459313914)","(48.68792031487646, 68.85342408888755)",25.07574280728295,26.032636779300454,9.611591032286015,9.940177257383773,1627926518746
participant_11,medium,"(123.34588878791236, 58.71106341471545)","(61.160594565513975, 64.62939575246514)","(110.59857608744093, 62.760808459313914)","(48.68792031487646, 68.85342408888755)",25.07574280728295,26.032636779300454,9.611591032286015,9.940177257383773,1627926518746
participant_11,medium,"(123.34588878791236, 58.71106341471545)","(61.160594565513975, 64.62939575246514)","(110.59857608744093, 62.760808459313914)","(48.68792031487646, 68.85342408888755)",25.07574280728295,26.032636779300454,9.611591032286015,9.940177257383773,1627926518746
participant_11,medium,"(123.34588878791236, 58.71106341471545)","(61.160594565513975, 64.62939575246514)","(110.59857608744093, 62.760808459313914)","(48.68792031487646, 68.85342408888755)",25.07574280728295,26.032636779300454,9.611591032286015,9.940177257383773,1627926518746
participant_11,medium,"(123.34588878791236, 58.71106341471545)","(61.160594565513975, 64.62939575246514)","(110.59857608744093, 62.760808459313914)","(48.68792031487646, 68.85342408888755)",25.07574280728295,26.032636779300454,9.611591032286015,9.940177257383773,1627926518746
participant_11,medium,"(123.34588878791236, 58.71106341471545)","(61.160594565513975, 64.62939575246514)","(110.59857608744093, 62.760808459313914)","(48.68792031487646, 68.85342408888755)",25.07574280728295,26.032636779300454,9.611591032286015,9.940177257383773,1627926518746
participant_11,medium,"(96.32854224022049, 67.06921444440115)","(37.214453639072985, 64.19010409047144)","(84.17656823268135, 70.58223332669513)","(25.227873932977673, 67.74533716134101)",23.931043790627882,24.397673783023492,7.792212909052068,7.848364014794242,1627926519469
participant_11,medium,"(96.32854224022049, 67.06921444440115)","(37.214453639072985, 64.19010409047144)","(84.17656823268135, 70.58223332669513)","(25.227873932977673, 67.74533716134101)",23.931043790627882,24.397673783023492,7.792212909052068,7.848364014794242,1627926519469
