participant,difficulty,left_pupil_position,right_pupil_position,left_eye_position,right_eye_position,left_eye_size_x,right_eye_size_x,left_eye_size_y,right_eye_size_y,time_stamp
participant_8,hard,"(124.24404054489332, 89.14836369145019)","(50.92241412288229, 89.39513983422103)","(108.24186083390987, 93.73997515136216)","(35.56910897030912, 94.06243372990684)",32.053068069316396,31.210354882196953,10.521631911418808,10.891459437979393,1627411521405
participant_8,hard,"(124.24404054489332, 89.14836369145019)","(50.92241412288229, 89.39513983422103)","(108.24186083390987, 93.73997515136216)","(35.56910897030912, 94.06243372990684)",32.053068069316396,31.210354882196953,10.521631911418808,10.891459437979393,1627411521427
participant_8,hard,"(126.6948771215192, 90.01739161578655)","(54.128542376916016, 89.94917826944743)","(110.353674966565, 94.83834454933094)","(38.62252396426038, 94.92556012098976)",32.28494752007373,31.508711724371096,11.180557332353601,11.697469484866815,1627411521557
participant_8,hard,"(127.70315710269085, 89.89604956848859)","(54.102915206805676, 89.82749926943188)","(110.353674966565, 95.25703995206823)","(38.62252396426038, 94.92556012098976)",33.822619840555944,31.508711724371096,12.718138570857263,12.670901484991191,1627411521677
participant_8,hard,"(127.70315710269085, 89.89604956848859)","(54.102915206805676, 89.82749926943188)","(110.353674966565, 95.25703995206823)","(38.62252396426038, 94.92556012098976)",33.822619840555944,31.508711724371096,12.718138570857263,12.670901484991191,1627411521696
participant_8,hard,"(130.43615673831118, 88.07120142648728)","(56.651841591364246, 87.71140401158209)","(113.68453055865393, 93.28949534209823)","(40.97614222303673, 93.05436774218106)",32.816420977069356,31.929884836426936,12.194693872603239,12.699578385116183,1627411521819
participant_8,hard,"(130.43615673831118, 88.07120142648728)","(56.651841591364246, 87.71140401158209)","(113.68453055865393, 93.28949534209823)","(40.97614222303673, 93.05436774218106)",32.816420977069356,31.929884836426936,12.194693872603239,12.699578385116183,1627411521837
participant_8,hard,"(130.43615673831118, 88.07120142648728)","(56.651841591364246, 87.71140401158209)","(113.68453055865393, 93.28949534209823)","(40.97614222303673, 93.05436774218106)",32.816420977069356,31.929884836426936,12.194693872603239,12.699578385116183,1627411521837
participant_8,hard,"(130.95950980540124, 89.90212446497002)","(58.215603660363165, 88.86950959468048)","(114.36343425759604, 95.11387364160463)","(42.50557615393335, 94.14076215321573)",32.42517830634371,31.940799379704004,12.19632374394223,12.530176477084751,1627411521966
participant_8,hard,"(130.43150714731973, 88.11826238269533)","(58.01553798450561, 88.33891452600176)","(113.68328023622963, 93.51043073251823)","(42.50557615393335, 94.14076215321573)",32.74876530253094,31.703157997035333,12.709494652699505,13.596665782469671,1627411522092
participant_8,hard,"(130.43150714731973, 88.11826238269533)","(58.01553798450561, 88.33891452600176)","(113.68328023622963, 93.51043073251823)","(42.50557615393335, 94.14076215321573)",32.74876530253094,31.703157997035333,12.709494652699505,13.596665782469671,1627411522111
participant_8,hard,"(129.28563394050616, 88.74012181804079)","(57.72547864479384, 88.9258318567338)","(113.68328023622963, 93.90627229166739)","(42.50557615393335, 94.14076215321573)",31.25985234701328,30.948178053928146,11.84007270424263,12.042560459622095,1627411522237
participant_8,hard,"(129.28563394050616, 88.74012181804079)","(57.72547864479384, 88.9258318567338)","(113.68328023622963, 93.90627229166739)","(42.50557615393335, 94.14076215321573)",31.25985234701328,30.948178053928146,11.84007270424263,12.042560459622095,1627411522257
participant_8,hard,"(131.1062811419033, 90.1083556221356)","(58.5341224241829, 90.30114396108837)","(116.2595078037557, 92.91446501561586)","(43.38934281290858, 93.33511571537383)",30.11958117948234,30.064411394952913,6.154629842123541,6.9353384619316785,1627411522380
participant_8,hard,"(131.1062811419033, 90.1083556221356)","(58.5341224241829, 90.30114396108837)","(116.2595078037557, 92.91446501561586)","(43.38934281290858, 93.33511571537383)",30.11958117948234,30.064411394952913,6.154629842123541,6.9353384619316785,1627411522380
participant_8,hard,"(131.1062811419033, 90.1083556221356)","(58.5341224241829, 90.30114396108837)","(116.2595078037557, 92.91446501561586)","(43.38934281290858, 93.33511571537383)",30.11958117948234,30.064411394952913,6.154629842123541,6.9353384619316785,1627411522401
participant_8,hard,"(129.25980199750234, 88.0306251016492)","(56.78499567404083, 88.51384813897687)","(112.94209461912078, 92.94226150774512)","(41.015307245012536, 93.54403503908952)",32.21155815913153,32.057175953668775,11.302267388094151,11.726790393828196,1627411522523
participant_8,hard,"(130.48461158200234, 90.42560260275194)","(56.671572577368124, 90.81517255871289)","(114.25713787234871, 95.32894978943384)","(41.05060187527761, 95.86210556191415)",31.920952501057414,31.63464428659971,11.096433680779228,11.630546495542148,1627411522653
participant_8,hard,"(130.48461158200234, 90.42560260275194)","(56.671572577368124, 90.81517255871289)","(114.25713787234871, 95.32894978943384)","(41.05060187527761, 95.86210556191415)",31.920952501057414,31.63464428659971,11.096433680779228,11.630546495542148,1627411522670
participant_8,hard,"(130.47249668686425, 90.07954105098507)","(57.182706214909444, 90.2815368438156)","(114.25713787234871, 94.35801894448738)","(41.05060187527761, 94.80508780876332)",31.920952501057414,32.382366866050674,10.125502835832776,10.573528742391318,1627411522797
participant_8,hard,"(130.47249668686425, 90.07954105098507)","(57.182706214909444, 90.2815368438156)","(114.25713787234871, 94.35801894448738)","(41.05060187527761, 94.80508780876332)",31.920952501057414,32.382366866050674,10.125502835832776,10.573528742391318,1627411522816
participant_8,hard,"(132.22074105991464, 89.35317543559381)","(58.48962764004068, 89.2463812420865)","(116.1986229623617, 94.15446072016857)","(42.612878798381644, 94.13826143620099)",31.57341173367422,31.959158907948222,10.814429481890329,11.249823184030902,1627411522942
participant_8,hard,"(132.22074105991464, 89.35317543559381)","(58.48962764004068, 89.2463812420865)","(116.1986229623617, 94.15446072016857)","(42.612878798381644, 94.13826143620099)",31.57341173367422,31.959158907948222,10.814429481890329,11.249823184030902,1627411522942
participant_8,hard,"(132.22074105991464, 89.35317543559381)","(58.48962764004068, 89.2463812420865)","(116.1986229623617, 94.15446072016857)","(42.612878798381644, 94.13826143620099)",31.57341173367422,31.959158907948222,10.814429481890329,11.249823184030902,1627411522966
participant_8,hard,"(131.36187442614096, 88.72459918607673)","(57.6475895444246, 88.73749013259477)","(116.1986229623617, 93.37795981001275)","(41.75799237652427, 93.51343147310311)",30.558091812948987,31.997402608938515,10.677766354239793,10.991000363410421,1627411523089
participant_8,hard,"(131.36187442614096, 88.72459918607673)","(57.6475895444246, 88.73749013259477)","(116.1986229623617, 93.37795981001275)","(41.75799237652427, 93.51343147310311)",30.558091812948987,31.997402608938515,10.677766354239793,10.991000363410421,1627411523212
participant_8,hard,"(131.36187442614096, 88.72459918607673)","(57.6475895444246, 88.73749013259477)","(116.1986229623617, 93.37795981001275)","(41.75799237652427, 93.51343147310311)",30.558091812948987,31.997402608938515,10.677766354239793,10.991000363410421,1627411523230
participant_8,hard,"(129.55953915020473, 87.63031764483456)","(56.4956722269585, 87.8018166433071)","(113.81873645979793, 92.1954432404527)","(40.58994210978199, 92.44188409675186)",31.26323551185125,32.09433872638327,10.369455925956572,10.730076111231028,1627411523357
participant_8,hard,"(129.55953915020473, 87.63031764483456)","(56.4956722269585, 87.8018166433071)","(113.81873645979793, 92.1954432404527)","(40.58994210978199, 92.44188409675186)",31.26323551185125,32.09433872638327,10.369455925956572,10.730076111231028,1627411523378
participant_8,hard,"(131.01337384656847, 88.56336249171386)","(56.99868528554384, 87.92643296011863)","(114.68018411250159, 93.64908975844082)","(40.58994210978199, 92.44188409675186)",32.14491987278598,33.24542444767576,11.678596969401042,11.172668235521968,1627411523501
participant_8,hard,"(131.01337384656847, 88.56336249171386)","(56.99868528554384, 87.92643296011863)","(114.68018411250159, 93.64908975844082)","(40.58994210978199, 92.44188409675186)",32.14491987278598,33.24542444767576,11.678596969401042,11.172668235521968,1627411523518
participant_8,hard,"(131.01337384656847, 88.56336249171386)","(56.99868528554384, 87.92643296011863)","(114.68018411250159, 93.64908975844082)","(40.58994210978199, 92.44188409675186)",32.14491987278598,33.24542444767576,11.678596969401042,11.172668235521968,1627411523518
participant_8,hard,"(131.01337384656847, 88.56336249171386)","(57.09963684401396, 88.01923900977192)","(114.68018411250159, 93.64908975844082)","(40.58994210978199, 93.18433249397822)",32.14491987278598,33.24542444767576,11.678596969401042,11.915116632748322,1627411523646
participant_8,hard,"(131.01337384656847, 88.56336249171386)","(57.09963684401396, 88.01923900977192)","(114.68018411250159, 93.64908975844082)","(40.58994210978199, 93.18433249397822)",32.14491987278598,33.24542444767576,11.678596969401042,11.915116632748322,1627411523666
participant_8,hard,"(131.01337384656847, 88.56336249171386)","(57.311954133581935, 87.97476177873045)","(114.68018411250159, 93.64908975844082)","(41.45667371889114, 93.18433249397822)",32.14491987278598,32.37869283856661,11.678596969401042,11.915116632748322,1627411523797
participant_8,hard,"(130.49375870239714, 88.51852301348919)","(55.75172323143909, 88.5718837461402)","(114.68018411250159, 93.64908975844082)","(39.68288601263703, 93.91353506562018)",31.342451373921904,32.57584101332213,11.814456362836154,12.395320426364378,1627411523916
participant_8,hard,"(130.49375870239714, 88.51852301348919)","(55.75172323143909, 88.5718837461402)","(114.68018411250159, 93.64908975844082)","(39.68288601263703, 93.91353506562018)",31.342451373921904,32.57584101332213,11.814456362836154,12.395320426364378,1627411523933
participant_8,hard,"(130.0561262413066, 87.50474840689638)","(56.11358953947819, 87.0670409655413)","(113.58094221796632, 92.7387380277214)","(39.97768444309621, 92.36261371202998)",32.39310813948394,32.733471721061505,11.983720930293202,12.37376757513266,1627411524063
participant_8,hard,"(130.0561262413066, 87.50474840689638)","(56.11358953947819, 87.0670409655413)","(113.58094221796632, 92.7387380277214)","(39.97768444309621, 92.36261371202998)",32.39310813948394,32.733471721061505,11.983720930293202,12.37376757513266,1627411524063
participant_8,hard,"(130.0561262413066, 87.50474840689638)","(56.11358953947819, 87.0670409655413)","(113.58094221796632, 92.7387380277214)","(39.97768444309621, 92.36261371202998)",32.39310813948394,32.733471721061505,11.983720930293202,12.37376757513266,1627411524081
participant_8,hard,"(130.0561262413066, 87.50474840689638)","(56.11358953947819, 87.0670409655413)","(113.58094221796632, 92.7387380277214)","(39.97768444309621, 92.36261371202998)",32.39310813948394,32.733471721061505,11.983720930293202,12.37376757513266,1627411524207
