participant,difficulty,left_pupil_position,right_pupil_position,left_eye_position,right_eye_position,left_eye_size_x,right_eye_size_x,left_eye_size_y,right_eye_size_y,time_stamp
participant_9,easy,"(102.39255113392937, 72.18477157055713)","(43.56641602887976, 73.74243797799863)","(90.42721636108399, 75.08267517805507)","(31.237325621910713, 76.78445209688653)",23.950147487674258,24.934465377948072,6.625338120240485,7.015670917870011,1627462615059
participant_9,easy,"(101.4533243268886, 71.94870346510243)","(42.4028611629268, 73.30268699844567)","(89.53657498343546, 74.83333846548703)","(30.090730244501174, 76.34407014218141)",23.854985046682486,24.93448414352315,6.613550487190878,7.037320793801882,1627462615122
participant_9,easy,"(100.81898042493958, 74.28581516490158)","(42.15331432959192, 75.65950477470324)","(88.91912901165051, 77.13391846870945)","(29.88302809324523, 78.64738197301631)",23.838121159671573,24.73715502826235,6.538541687550605,6.945657124830177,1627462615187
participant_9,easy,"(100.81898042493958, 74.28581516490158)","(42.15331432959192, 75.65950477470324)","(88.91912901165051, 77.13391846870945)","(29.88302809324523, 78.64738197301631)",23.838121159671573,24.73715502826235,6.538541687550605,6.945657124830177,1627462615251
participant_9,easy,"(101.11811966719394, 72.87756121670022)","(42.239065009085444, 74.21841848027965)","(89.02813331074006, 75.90712703157807)","(29.804221641902593, 77.37129317119435)",24.134773195877642,25.178020280220608,7.085122695226346,7.4165919942788605,1627462615315
participant_9,easy,"(100.02037604335784, 72.38822229002837)","(41.269667331298486, 73.84628674883062)","(87.91143631868184, 75.44689049987939)","(28.822659892393865, 77.01059896455264)",24.169527211779496,25.231514010301908,7.134364940284286,7.376934881613124,1627462615378
participant_9,easy,"(101.53903357541083, 71.97670569948855)","(43.21500921678819, 72.82000351882573)","(89.80459972898416, 73.99165449300199)","(30.974825021896777, 74.85840797604851)",23.505875438613657,24.367325468142553,4.232640631312279,4.323531179679776,1627462615444
participant_9,easy,"(103.97339392404092, 72.99255313282515)","(44.48997472614565, 72.96944956027119)","(92.17781356231171, 74.79498683761449)","(32.14631574073792, 74.77716238540779)",23.623145091851256,24.51843733939313,3.651945289420837,3.674239823685639,1627462615522
participant_9,easy,"(103.2078444716649, 72.47594472372613)","(44.402214964951554, 72.05346265714297)","(91.16156805485846, 74.79498683761449)","(32.14631574073792, 74.77716238540779)",23.636469383018266,24.51843733939313,5.847019208604237,6.6131600605240095,1627462615588
participant_9,easy,"(101.86399004924088, 70.45316550437553)","(42.832081054820826, 69.6932293712731)","(89.77506258561559, 73.74083459697977)","(30.36932717637091, 73.00828651322718)",23.97945804794017,25.24126059574246,7.6127491422776075,7.621264282315678,1627462615673
participant_9,easy,"(102.56600321348513, 71.80883942200852)","(42.832081054820826, 69.6932293712731)","(90.30310308995647, 75.00303761222675)","(30.36932717637091, 73.00828651322718)",24.207496589591756,25.24126059574246,7.439673903580115,7.621264282315678,1627462615748
participant_9,easy,"(102.50275735717969, 73.09053436551346)","(43.03412487488481, 71.06926187596673)","(90.2872449525762, 76.28189350586035)","(30.452817356803735, 74.28734250714842)",24.087603862211836,25.34051004698722,7.472665206566489,7.592056945461991,1627462615806
participant_9,easy,"(103.38825261096851, 75.62764781440275)","(44.158698931472834, 72.56634601260295)","(91.29885749792177, 78.77813064531439)","(31.464971047452316, 75.70681463109578)",23.820764145992143,25.58384108782775,7.378657373445094,7.373254572399674,1627462615888
participant_9,easy,"(107.997456291032, 79.011458124005)","(49.3564020669055, 76.0514597216661)","(96.41795099563751, 81.82617748869234)","(36.53768309955922, 78.84357090326375)",22.931882200864493,25.585290110029746,6.47939970556763,6.3209429164999165,1627462615961
participant_9,easy,"(113.99227153634956, 81.85028631325758)","(56.2018542438625, 79.47150793414289)","(102.83244696081965, 84.34974936900835)","(43.194606143808414, 81.85704607177286)",22.06473168431694,25.68103751052513,4.877769593602352,4.29043390775405,1627462616026
participant_9,easy,"(115.96739917832383, 78.19364479590513)","(57.98020605207785, 76.86163440691962)","(105.1062403198157, 80.52761634718627)","(44.787124708498595, 79.01730383301037)",21.503262069483753,26.050895877502626,4.450060979754198,3.7087891308765393,1627462616091
participant_9,easy,"(120.17574111936074, 81.43628022079065)","(62.511278124351065, 79.81949139354356)","(109.2763966435923, 83.84965811126676)","(49.29734306388491, 82.14025005798976)",21.49900516065827,26.03985256596934,4.665371990213316,4.1167704785839305,1627462616162
participant_9,easy,"(120.17574111936074, 81.43628022079065)","(62.511278124351065, 79.81949139354356)","(109.2763966435923, 83.84965811126676)","(49.29734306388491, 82.14025005798976)",21.49900516065827,26.03985256596934,4.665371990213316,4.1167704785839305,1627462616239
participant_9,easy,"(115.72595360518493, 77.01245759816946)","(57.91896944468135, 75.80179758676876)","(104.85331648161625, 79.46930472819075)","(44.76184439088501, 78.11060054950757)",21.522221691888262,25.962109236181284,4.762320615956924,4.129025915883176,1627462616279
participant_9,easy,"(111.87749794897319, 77.18724025335165)","(53.38268398504454, 73.91554335820045)","(100.19123538384471, 80.77449436608002)","(40.03035229072474, 77.40933328636127)",22.943908655669475,26.76840453158639,8.239243971719588,8.008211618205678,1627462616383
participant_9,easy,"(113.55728229600277, 76.10859197722789)","(55.605516696828545, 71.80770706799126)","(101.69512533575835, 79.66546353655576)","(42.495359035616275, 75.22213064372772)",23.222884142191106,26.30982154985577,8.220762030761762,7.899627903315377,1627462616440
participant_9,easy,"(113.73124187106441, 78.35575150558725)","(55.53545321869751, 73.31877440643439)","(101.68938641494606, 81.92314838035963)","(42.55856508569559, 76.71718289877754)",23.460960280383006,26.044428128225263,8.360102150589228,7.953843200695701,1627462616496
participant_9,easy,"(107.65881087876961, 76.60088555866572)","(49.537139458640645, 72.63695606087107)","(95.80835432830784, 79.79247788988143)","(36.812530777247964, 75.76726403475824)",23.272951027886847,25.570364626484206,7.506665520900242,7.305465084073148,1627462616596
participant_9,easy,"(106.53081151570085, 74.50880519377459)","(48.32063414108517, 71.18798801730917)","(94.65829513089099, 77.67740445270827)","(35.601670126447054, 74.39589374275236)",23.390056791206007,25.634069258377167,7.508620614924439,7.50086696058861,1627462616656
participant_9,easy,"(106.53081151570085, 74.50880519377459)","(48.32063414108517, 71.18798801730917)","(94.65829513089099, 77.67740445270827)","(35.601670126447054, 74.39589374275236)",23.390056791206007,25.634069258377167,7.508620614924439,7.50086696058861,1627462616721
participant_9,easy,"(106.05548649895672, 74.77989364583323)","(46.65336378754, 72.30479357281001)","(93.6195827727206, 77.67740445270827)","(33.898614006116986, 75.54515231074765)",24.428769149376393,25.70266405795701,7.096453296380773,7.587141814874485,1627462616798
participant_9,easy,"(105.72820767587973, 74.75158069532267)","(46.772811566785435, 71.10280292999221)","(93.6195827727206, 77.62465531795806)","(34.11758137415109, 74.23505631624812)",24.428769149376393,25.48421903581766,7.043704161630558,7.353910970286961,1627462616867
participant_9,easy,"(109.48698431073353, 76.80767807625216)","(52.081986005457566, 72.31647500549116)","(97.62952520344697, 79.98751302744495)","(39.60365574006573, 75.39836385274612)",23.27857580563432,25.0638126456397,7.500517490134371,7.2053309141301725,1627462616926
participant_9,easy,"(109.56248445357232, 77.27734825636617)","(52.081986005457566, 72.31647500549116)","(97.62952520344697, 79.98751302744495)","(39.60365574006573, 75.39836385274612)",23.32475283077656,25.0638126456397,6.6435357804220985,7.2053309141301725,1627462616993
participant_9,easy,"(108.51520441380465, 75.2732130425138)","(51.44692411780545, 69.86941458283478)","(96.98219625001636, 78.43458936819478)","(38.871629983278574, 72.98887673967691)",22.623214088058376,25.207008541972762,7.404364953412369,7.2186904310729005,1627462617056
participant_9,easy,"(106.28804088552533, 73.22350712607454)","(49.3448785310336, 68.48285224930396)","(94.84567651238558, 76.21653259516643)","(36.769552188258785, 71.49619669973072)",22.543928912873525,25.29598097490998,7.083211031906103,6.967784662148915,1627462617156
participant_9,easy,"(104.16415254932963, 72.26542820319901)","(46.294371567417045, 68.49908802697689)","(92.51161714598902, 75.30431046124522)","(33.591460761124836, 71.5771017452198)",22.95806465851365,25.629695594777786,7.189421473990478,7.1534552406692455,1627462617228
participant_9,easy,"(104.92942282305933, 70.38786215821631)","(46.39571770380468, 68.45784046574158)","(93.22722729486486, 73.35505363242646)","(34.4022298522259, 71.5771017452198)",23.151714143014033,24.81892650367672,6.951720187180399,7.1534552406692455,1627462617285
participant_9,easy,"(104.79748662137104, 72.31933337681767)","(46.45486577411191, 70.62801081638031)","(93.09349107112575, 75.21238013830407)","(33.9003135413177, 73.56286554604594)",23.18547175590902,25.301108631882926,6.804941721844443,6.827838858936957,1627462617348
participant_9,easy,"(102.09501789130968, 72.32168332748074)","(43.741050177314946, 71.34817866151252)","(90.41855387397845, 75.17712389324515)","(31.235396951597068, 74.23795257097481)",23.160132835091645,25.16029103816436,6.68709008420592,6.733321121264453,1627462617413
participant_9,easy,"(103.28513435068476, 71.85850614769197)","(44.87978882453626, 71.93738690964472)","(91.47665863807742, 74.78065347814936)","(32.36053248280041, 74.93409344233805)",23.440683319562595,25.228970495771136,6.814891207911387,6.913418084836849,1627462617477
participant_9,easy,"(104.80096791095639, 74.16873936048796)","(46.11128895490765, 74.42272511013289)","(92.90376521165308, 77.16454506505397)","(33.58652383783192, 77.41561468539294)",23.59651640825905,25.239682368934155,6.9768575903144665,6.917523471842287,1627462617570
participant_9,easy,"(103.96996217507761, 72.69389542130396)","(45.06345762174555, 73.07029333092895)","(91.95665740348883, 75.68441411126877)","(32.53917207029007, 76.04842116611506)",23.766860341314896,25.26520956061904,7.0597652907617885,6.971118823094002,1627462617651
participant_9,easy,"(102.95385953100981, 74.63215255862383)","(44.89252093021787, 74.72830948486148)","(91.06170369856864, 77.53532831012672)","(32.50178766767294, 77.59858647445071)",23.57250096961434,25.010147139526453,6.872815669148622,6.732058649275132,1627462617715
participant_9,easy,"(102.87034452843216, 76.44303386634306)","(45.1230885078985, 76.02299680055467)","(90.9447840161647, 79.41732444494392)","(32.72861947812089, 78.97133500889595)",23.609519514002386,25.034321062412346,7.04508441233429,6.917906002581731,1627462617779
participant_9,easy,"(102.3328080823171, 75.1069054183631)","(44.76975572704702, 74.61691719754695)","(90.48875661506369, 78.08612622444797)","(32.45146983972972, 77.56940890955774)",23.42261958105155,24.84166058212395,7.019952413461397,6.922999586904552,1627462617845
participant_9,easy,"(105.05841251520452, 75.75782403995915)","(46.99925046424159, 74.77386832955155)","(93.100651270609, 78.66304657431375)","(34.6531159290903, 77.66990178328707)",23.61719981280112,24.75379925368952,6.796072960987658,6.802019502200892,1627462617910
participant_9,easy,"(102.28326091139866, 76.07304911562619)","(44.48045387549621, 74.96736495069581)","(90.5562543787546, 78.85810206268616)","(32.26435863107781, 77.79055348079964)",23.328278814906298,24.591314911161135,6.501848332674854,6.593477333741248,1627462617970
participant_9,easy,"(102.17985992935718, 76.15213762673932)","(44.48045387549621, 74.96736495069581)","(89.72904652242278, 78.85810206268616)","(32.26435863107781, 77.79055348079964)",24.155486671238123,24.591314911161135,6.501848332674854,6.593477333741248,1627462618035
participant_9,easy,"(102.9371642112766, 79.28007351935368)","(45.30946447240246, 77.11071256580989)","(91.2366689371843, 82.12631892992069)","(33.118503857290314, 79.99583412446374)",23.220068892310337,24.535512139010734,6.6406650732196795,6.736337947760148,1627462618115
