image_path,participant,difficulty
tracking_data_download\participant_5\extracted_images\capture__1627049017455.5266.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049017545.473.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049017629.561.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049017701.2393.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049017741.2158.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049017820.17.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049017913.1165.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049017975.0806.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049018040.0522.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049018101.008.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049018186.9578.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049018252.9207.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049018319.881.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049018406.831.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049018467.7964.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049018494.7803.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049018616.7102.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049018652.6895.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049018728.6458.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049018796.9702.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049018874.9248.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049018937.8916.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049019002.852.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049019082.934.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049019150.7927.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049019244.7385.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049019281.7173.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049019355.6746.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049019424.635.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049019499.5916.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049019556.5588.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049019656.5088.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049019706.473.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049019779.6145.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049019868.1108.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049019940.0703.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049020004.0315.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049020071.994.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049020125.962.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049020193.9248.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049020284.8708.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049020337.8396.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049020433.784.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049020502.7441.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049020541.7212.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049020641.6648.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049020678.6663.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049020754.6228.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049020824.5815.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049020908.8398.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049020984.0295.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049021047.8716.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049021110.832.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049021190.959.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049021262.9185.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049021327.88.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049021407.834.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049021465.8035.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049021531.7625.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049021576.737.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049021663.6868.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049021727.6504.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049021826.5928.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049021867.57.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049021949.977.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049022018.9375.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049022084.1262.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049022151.09.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049022221.0483.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049022325.9883.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049022365.9658.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049022457.9119.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049022533.868.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049022606.8254.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049022666.7935.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049022710.7656.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049022804.712.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049022852.6853.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049022925.24.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049022991.2024.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049023067.1584.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049023133.1206.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049023203.0798.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049023272.0408.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049023341.0012.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049023415.958.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049023495.918.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049023581.8684.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049023619.9302.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049023697.5315.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049023766.476.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049023832.438.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049023930.3826.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049023962.3674.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049024039.3198.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049024118.2744.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049024214.2202.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049024252.1982.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049024319.1587.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049024412.104.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049024491.058.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049024558.0205.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049024611.989.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049024688.945.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049024776.8938.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049024815.8718.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049024890.8281.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049024977.7786.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049024977.7786.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049025105.7039.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049025183.6587.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049025255.619.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049025322.3184.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049025390.279.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049025459.2397.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049025531.2.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049025597.1594.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049025673.1167.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049025740.0776.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049025800.044.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049025889.9912.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049025939.9614.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049026009.9238.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049026069.8882.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049026150.8428.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049026220.8032.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049026288.763.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049026357.7236.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049026425.683.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049026520.3828.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049026564.3572.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049026664.3008.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049026736.2585.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049026777.235.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049026874.1787.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049026934.1465.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049026989.112.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049027052.077.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049027123.037.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049027224.9766.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049027292.9373.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049027356.4724.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049027427.433.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049027498.392.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049027556.358.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049027639.313.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049027705.2722.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049027768.2358.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049027851.1914.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049027910.1548.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049027941.1365.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049028061.068.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049028132.027.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049028205.9836.png,participant_5,easy
tracking_data_download\participant_5\extracted_images\capture__1627049028271.946.png,participant_5,easy
